common_name,Scientific name,Classification,Habitat,Diet,Lifespan,Image_path,Description,
Lion,Panthera leo,Mammal,Savannas,Carnivore,10-14 years,static/images/Lion.jpg,"Large cat and King of the Jungle.",
Tiger,Panthera tigris,Mammal,Forests,Carnivore,8-12 years,static/images/Tiger.jpg,Striped cat.,
Elephant,Loxodonta africana,Mammal,Savannas,Herbivore,60-70 years,static/images/Elephant.jpg,Largest land animal.,
Giraffe,Giraffa camelopardalis,Mammal,Savannas,Herbivore,20-25 years,static/images/Giraffe.jpg,Tallest land animal.,
Kangaroo,Macropus giganteus,Mammal,Grasslands,Herbivore,6-10 years,./static/images/Kangaroo.jpg,Hopping marsupial.,
Blue Whale,Balaenoptera musculus,Mammal,Oceans,Krill,80-90 years,./static/images/Blue Whale.jpg,Largest animal.,
Great White Shark,Carcharodon carcharias,Fish,Oceans,Carnivore,Up to 70 years,./static/images/Great White Shark.jpg,Apex predator.,
Dolphin,Tursiops truncatus,Mammal,Oceans,Carnivore,20-60 years,./static/images/Dolphin.jpg,Intelligent marine mammal.,
Sea Turtle,Chelonia mydas,Reptile,Oceans,Herbivore/Omnivore,Up to 100 years,./static/images/Sea Turtle.jpg,Marine reptile.,
Octopus,Octopus vulgaris,Mollusk,Oceans,Carnivore,1-2 years,./static/images/Octopus.jpg,Intelligent invertebrate.,
Emperor Penguin,Aptenodytes forsteri,Bird,Antarctica,Fish,20 years,./static/images/Emperor Penguin.jpg,Largest penguin.,
Polar Bear,Ursus maritimus,Mammal,Arctic,Carnivore,15-18 years,./static/images/Polar Bear.jpg,Arctic predator.,
Orca,Orcinus orca,Mammal,Oceans,Carnivore,50-80 years,./static/images/Orca.jpg,Apex marine predator.,
Humpback Whale,Megaptera novaeangliae,Mammal,Oceans,Krill,45-50 years,./static/images/Humpback Whale.jpg,Known for breaching.,
Sea Otter,Enhydra lutris,Mammal,Pacific Ocean,Carnivore,10-15 years,./static/images/Sea Otter.jpg,Smallest marine mammal.,
Clownfish,Amphiprioninae,Fish,Coral reefs,Omnivore,3-5 years,./static/images/Clownfish.jpg,Lives in anemones.,
Angelfish,Pterophyllum scalare,Fish,Amazon,Omnivore,5-10 years,./static/images/Angelfish.jpg,Graceful fish.,
Starfish,Asteroidea,Echinoderm,Oceans,Carnivore,Up to 35 years,./static/images/Starfish.jpg,Five-armed invertebrate.,
Jellyfish,Scyphozoa,Cnidarian,Oceans,Carnivore,Variable,./static/images/Jellyfish.jpg,Stinging marine animal.,
Seahorse,Hippocampus,Fish,Shallow waters,Carnivore,2-5 years,./static/images/Seahorse.jpg,Unique fish.,
Gorilla,Gorilla gorilla,Mammal,Forests,Herbivore,35-40 years,./static/images/Gorilla.jpg,Large primate.,
Chimpanzee,Pan troglodytes,Mammal,Forests,Omnivore,40-50 years,./static/images/Chimpanzee.jpg,Intelligent primate.,
Orangutan,Pongo,Mammal,Forests,Omnivore,30-40 years,./static/images/Orangutan.jpg,Arboreal primate.,
Lemur,Lemuridae,Mammal,Madagascar,Omnivore,20-25 years,./static/images/Lemur.jpg,Primate.,
Sloth,Bradypus,Mammal,Rainforests,Herbivore,20-30 years,./static/images/Sloth.jpg,Slow-moving mammal.,
Giant Panda,Ailuropoda melanoleuca,Mammal,China,Herbivore,20-30 years,./static/images/Giant Panda.jpg,Endangered bear.,
Red Panda,Ailurus fulgens,Mammal,Asia,Omnivore,8-10 years,./static/images/Red Panda.jpg,Arboreal mammal.,
