common_name,Scientific name,Classification,Habitat,Diet,Lifespan,Image_path,Description,Unnamed: 8
Lion,Panthera leo,Mammal,Savannas,Carnivore,10-14 years,static/images/Lion.jpg,Large cat and King of the Jungle.,nan
Tiger,Panthera tigris,Mammal,Forests,Carnivore,8-12 years,static/images/Tiger.jpg,Striped cat.,nan
Elephant,Loxodonta africana,Mammal,Savannas,Herbivore,60-70 years,static/images/Elephant.jpg,Largest land animal.,nan
Giraffe,Giraffa camelopardalis,Mammal,Savannas,Herbivore,20-25 years,static/images/Giraffe.jpg,Tallest land animal.,nan
Kangaroo,Macropus giganteus,Mammal,Grasslands,Herbivore,6-10 years,./static/images/Kangaroo.jpg,Hopping marsupial.,nan
Blue Whale,Balaenoptera musculus,Mammal,Oceans,Krill,80-90 years,./static/images/Blue Whale.jpg,Largest animal.,nan
Great White Shark,Carcharodon carcharias,Fish,Oceans,Carnivore,Up to 70 years,./static/images/Great White Shark.jpg,Apex predator.,nan
Dolphin,Tursiops truncatus,Mammal,Oceans,Carnivore,20-60 years,./static/images/Dolphin.jpg,Intelligent marine mammal.,nan
Sea Turtle,Chelonia mydas,Reptile,Oceans,Herbivore/Omnivore,Up to 100 years,./static/images/Sea Turtle.jpg,Marine reptile.,nan
Octopus,Octopus vulgaris,Mollusk,Oceans,Carnivore,1-2 years,./static/images/Octopus.jpg,Intelligent invertebrate.,nan
Emperor Penguin,Aptenodytes forsteri,Bird,Antarctica,Fish,20 years,./static/images/Emperor Penguin.jpg,Largest penguin.,nan
Polar Bear,Ursus maritimus,Mammal,Arctic,Carnivore,15-18 years,./static/images/Polar Bear.jpg,Arctic predator.,nan
Orca,Orcinus orca,Mammal,Oceans,Carnivore,50-80 years,./static/images/Orca.jpg,Apex marine predator.,nan
Humpback Whale,Megaptera novaeangliae,Mammal,Oceans,Krill,45-50 years,./static/images/Humpback Whale.jpg,Known for breaching.,nan
Sea Otter,Enhydra lutris,Mammal,Pacific Ocean,Carnivore,10-15 years,./static/images/Sea Otter.jpg,Smallest marine mammal.,nan
Clownfish,Amphiprioninae,Fish,Coral reefs,Omnivore,3-5 years,./static/images/Clownfish.jpg,Lives in anemones.,nan
Angelfish,Pterophyllum scalare,Fish,Amazon,Omnivore,5-10 years,./static/images/Angelfish.jpg,Graceful fish.,nan
Starfish,Asteroidea,Echinoderm,Oceans,Carnivore,Up to 35 years,./static/images/Starfish.jpg,Five-armed invertebrate.,nan
Jellyfish,Scyphozoa,Cnidarian,Oceans,Carnivore,Variable,./static/images/Jellyfish.jpg,Stinging marine animal.,nan
Seahorse,Hippocampus,Fish,Shallow waters,Carnivore,2-5 years,./static/images/Seahorse.jpg,Unique fish.,nan
Gorilla,Gorilla gorilla,Mammal,Forests,Herbivore,35-40 years,./static/images/Gorilla.jpg,Large primate.,nan
Chimpanzee,Pan troglodytes,Mammal,Forests,Omnivore,40-50 years,./static/images/Chimpanzee.jpg,Intelligent primate.,nan
Orangutan,Pongo,Mammal,Forests,Omnivore,30-40 years,./static/images/Orangutan.jpg,Arboreal primate.,nan
Lemur,Lemuridae,Mammal,Madagascar,Omnivore,20-25 years,./static/images/Lemur.jpg,Primate.,nan
Sloth,Bradypus,Mammal,Rainforests,Herbivore,20-30 years,./static/images/Sloth.jpg,Slow-moving mammal.,nan
Giant Panda,Ailuropoda melanoleuca,Mammal,China,Herbivore,20-30 years,./static/images/Giant Panda.jpg,Endangered bear.,nan
Red Panda,Ailurus fulgens,Mammal,Asia,Omnivore,8-10 years,./static/images/Red Panda.jpg,Arboreal mammal.,nan
Snow Leopard,Panthera uncia,Mammal,Mountains,Carnivore,10-12 years,./static/images/Snow Leopard.jpg,Elusive big cat.,nan
Cheetah,Acinonyx jubatus,Mammal,Africa,Carnivore,10-12 years,./static/images/Cheetah.jpg,Fastest land animal.,nan
Jaguar,Panthera onca,Mammal,Americas,Carnivore,12-15 years,./static/images/Jaguar.jpg,Powerful big cat.,nan
Leopard,Panthera pardus,Mammal,Africa/Asia,Carnivore,12-17 years,./static/images/Leopard.jpg,Spotted big cat.,nan
Cougar,Puma concolor,Mammal,Americas,Carnivore,8-13 years,./static/images/Cougar.jpg,Also known as mountain lion.,nan
Lynx,Lynx,Mammal,Northern Hemisphere,Carnivore,10-15 years,./static/images/Lynx.jpg,Tufted ears.,nan
Caracal,Caracal caracal,Mammal,Africa/Asia,Carnivore,10-12 years,./static/images/Caracal.jpg,Tufted ears.,nan
